location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Walker, Alabama",1127,Confirmed (per 100k),141.685,0.900,0.006349,101.719,3,0,3,-1
"Gallatin, Montana",30031,Confirmed (per 100k),124.963,0.624,0.004995,135.926,3,0,3,0
"Whatcom, Washington",53073,Confirmed (per 100k),121.267,0.872,0.007194,93.525,3,0,3,-1
"Tompkins, New York",36109,Confirmed (per 100k),116.461,0.839,0.007203,94.268,3,0,3,-1
"Kay, Oklahoma",40071,Confirmed (per 100k),105.655,0.984,0.009317,73.358,3,0,3,-1
"Lafayette, Missouri",29107,Confirmed (per 100k),91.721,0.874,0.009524,69.314,3,0,3,0
"Jefferson, Washington",53031,Confirmed (per 100k),90.003,0.443,0.004926,136.203,3,0,3,3
"Monongalia, West Virginia",54061,Confirmed (per 100k),85.218,0.812,0.009524,67.350,3,0,3,0
"Christian, Illinois",17021,Confirmed (per 100k),83.581,0.442,0.005291,117.488,3,0,3,0
"Le Sueur, Minnesota",,Confirmed (per 100k),76.159,0.495,0.006494,103.625,3,0,3,0
"Prince George, Virginia",51149,Confirmed (per 100k),73.006,0.745,0.010204,66.195,3,0,3,0
"St. Johns, Florida",12109,Confirmed (per 100k),72.543,0.918,0.012649,51.761,3,0,3,-1
"Greene, Pennsylvania",42059,Confirmed (per 100k),68.998,0.394,0.005714,114.022,3,0,3,-1
"Mower, Minnesota",27099,Confirmed (per 100k),67.396,0.713,0.010582,61.343,3,0,3,-1
"Dane, Wisconsin",55025,Confirmed (per 100k),66.582,0.706,0.010597,62.960,3,0,3,-1
"Virginia Beach, Virginia",51810,Confirmed (per 100k),62.448,0.952,0.015252,41.842,3,0,3,-1
"Boyd, Kentucky",21019,Confirmed (per 100k),62.075,0.917,0.014778,44.014,3,0,3,-2
"Douglas, Illinois",17041,Confirmed (per 100k),61.649,0.734,0.011905,55.798,3,0,3,0
"Grant, Arkansas",5053,Confirmed (per 100k),60.224,0.782,0.012987,51.639,3,0,3,-2
"Spokane, Washington",53063,Confirmed (per 100k),59.870,0.902,0.015062,42.144,3,0,3,-1
"Shelby, Ohio",39149,Confirmed (per 100k),59.683,0.588,0.009852,66.888,3,0,3,-1
"Sevier, Arkansas",5133,Confirmed (per 100k),58.799,0.840,0.014286,39.162,3,0,3,-1
"Santa Fe, New Mexico",35049,Confirmed (per 100k),57.197,0.760,0.013289,47.393,3,0,3,0
