State,Metric,Date,Value
Puerto Rico,Deaths (per 100k),2020-04-10T04:00:00Z,1.22
Virgin Islands,Confirmed,2020-03-22T04:00:00Z,6
Virgin Islands,Confirmed,2020-03-23T04:00:00Z,7
Virgin Islands,Confirmed,2020-03-24T04:00:00Z,17
Virgin Islands,Confirmed,2020-03-25T04:00:00Z,17
Virgin Islands,Confirmed,2020-03-26T04:00:00Z,17
Virgin Islands,Confirmed,2020-03-27T04:00:00Z,19
Virgin Islands,Confirmed,2020-03-28T04:00:00Z,22
Virgin Islands,Confirmed,2020-03-29T04:00:00Z,23
Virgin Islands,Confirmed,2020-03-30T04:00:00Z,30
Virgin Islands,Confirmed,2020-03-31T04:00:00Z,30
Virgin Islands,Confirmed,2020-04-01T04:00:00Z,30
Virgin Islands,Confirmed,2020-04-02T04:00:00Z,30
Virgin Islands,Confirmed,2020-04-03T04:00:00Z,37
Virgin Islands,Confirmed,2020-04-04T04:00:00Z,40
Virgin Islands,Confirmed,2020-04-05T04:00:00Z,42
Virgin Islands,Confirmed,2020-04-06T04:00:00Z,43
Virgin Islands,Confirmed,2020-04-07T04:00:00Z,43
Virgin Islands,Confirmed,2020-04-08T04:00:00Z,45
Virgin Islands,Confirmed,2020-04-09T04:00:00Z,45
Virgin Islands,Confirmed,2020-04-10T04:00:00Z,50
Virgin Islands,Confirmed (per 100k),2020-03-22T04:00:00Z,5.75
Virgin Islands,Confirmed (per 100k),2020-03-23T04:00:00Z,6.70
Virgin Islands,Confirmed (per 100k),2020-03-24T04:00:00Z,16.28
Virgin Islands,Confirmed (per 100k),2020-03-25T04:00:00Z,16.28
Virgin Islands,Confirmed (per 100k),2020-03-26T04:00:00Z,16.28
Virgin Islands,Confirmed (per 100k),2020-03-27T04:00:00Z,18.19
Virgin Islands,Confirmed (per 100k),2020-03-28T04:00:00Z,21.07
Virgin Islands,Confirmed (per 100k),2020-03-29T04:00:00Z,22.03
Virgin Islands,Confirmed (per 100k),2020-03-30T04:00:00Z,28.73
Virgin Islands,Confirmed (per 100k),2020-03-31T04:00:00Z,28.73
Virgin Islands,Confirmed (per 100k),2020-04-01T04:00:00Z,28.73
Virgin Islands,Confirmed (per 100k),2020-04-02T04:00:00Z,28.73
Virgin Islands,Confirmed (per 100k),2020-04-03T04:00:00Z,35.43
Virgin Islands,Confirmed (per 100k),2020-04-04T04:00:00Z,38.31
Virgin Islands,Confirmed (per 100k),2020-04-05T04:00:00Z,40.22
Virgin Islands,Confirmed (per 100k),2020-04-06T04:00:00Z,41.18
Virgin Islands,Confirmed (per 100k),2020-04-07T04:00:00Z,41.18
Virgin Islands,Confirmed (per 100k),2020-04-08T04:00:00Z,43.09
Virgin Islands,Confirmed (per 100k),2020-04-09T04:00:00Z,43.09
Virgin Islands,Confirmed (per 100k),2020-04-10T04:00:00Z,47.88
Virgin Islands,Deaths,2020-03-30T04:00:00Z,0
Virgin Islands,Deaths,2020-03-31T04:00:00Z,0
Virgin Islands,Deaths,2020-04-01T04:00:00Z,0
Virgin Islands,Deaths,2020-04-02T04:00:00Z,0
Virgin Islands,Deaths,2020-04-03T04:00:00Z,0
Virgin Islands,Deaths,2020-04-04T04:00:00Z,0
Virgin Islands,Deaths,2020-04-05T04:00:00Z,1
Virgin Islands,Deaths,2020-04-06T04:00:00Z,1
Virgin Islands,Deaths,2020-04-07T04:00:00Z,1
Virgin Islands,Deaths,2020-04-08T04:00:00Z,1
Virgin Islands,Deaths,2020-04-09T04:00:00Z,1
Virgin Islands,Deaths,2020-04-10T04:00:00Z,1
Virgin Islands,Deaths (per 100k),2020-03-30T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-03-31T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-04-01T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-04-02T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-04-03T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-04-04T04:00:00Z,0.00
Virgin Islands,Deaths (per 100k),2020-04-05T04:00:00Z,0.96
Virgin Islands,Deaths (per 100k),2020-04-06T04:00:00Z,0.96
Virgin Islands,Deaths (per 100k),2020-04-07T04:00:00Z,0.96
Virgin Islands,Deaths (per 100k),2020-04-08T04:00:00Z,0.96
Virgin Islands,Deaths (per 100k),2020-04-09T04:00:00Z,0.96
Virgin Islands,Deaths (per 100k),2020-04-10T04:00:00Z,0.96
Northern Mariana Islands,Confirmed,2020-03-25T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-26T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-27T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-28T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-29T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-30T04:00:00Z,0
Northern Mariana Islands,Confirmed,2020-03-31T04:00:00Z,2
Northern Mariana Islands,Confirmed,2020-04-01T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-02T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-03T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-04T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-05T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-06T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-07T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-08T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-09T04:00:00Z,6
Northern Mariana Islands,Confirmed,2020-04-10T04:00:00Z,6
Northern Mariana Islands,Confirmed (per 100k),2020-03-25T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-26T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-27T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-28T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-29T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-30T04:00:00Z,0.00
Northern Mariana Islands,Confirmed (per 100k),2020-03-31T04:00:00Z,3.47
Northern Mariana Islands,Confirmed (per 100k),2020-04-01T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-02T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-03T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-04T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-05T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-06T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-07T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-08T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-09T04:00:00Z,10.42
Northern Mariana Islands,Confirmed (per 100k),2020-04-10T04:00:00Z,10.42
Northern Mariana Islands,Deaths,2020-03-26T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-03-27T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-03-28T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-03-29T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-03-30T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-03-31T04:00:00Z,0
Northern Mariana Islands,Deaths,2020-04-01T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-02T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-03T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-04T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-05T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-06T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-07T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-08T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-09T04:00:00Z,1
Northern Mariana Islands,Deaths,2020-04-10T04:00:00Z,1
Northern Mariana Islands,Deaths (per 100k),2020-03-26T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-03-27T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-03-28T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-03-29T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-03-30T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-03-31T04:00:00Z,0.00
Northern Mariana Islands,Deaths (per 100k),2020-04-01T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-02T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-03T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-04T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-05T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-06T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-07T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-08T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-09T04:00:00Z,1.74
Northern Mariana Islands,Deaths (per 100k),2020-04-10T04:00:00Z,1.74
New York,Confirmed,2020-03-22T04:00:00Z,15800
New York,Confirmed,2020-03-23T04:00:00Z,20884
New York,Confirmed,2020-03-24T04:00:00Z,25681
New York,Confirmed,2020-03-25T04:00:00Z,30841
New York,Confirmed,2020-03-26T04:00:00Z,37877
New York,Confirmed,2020-03-27T04:00:00Z,44876
New York,Confirmed,2020-03-28T04:00:00Z,52410
New York,Confirmed,2020-03-29T04:00:00Z,59648
New York,Confirmed,2020-03-30T04:00:00Z,66663
New York,Confirmed,2020-03-31T04:00:00Z,75833
New York,Confirmed,2020-04-01T04:00:00Z,83948
New York,Confirmed,2020-04-02T04:00:00Z,92506
New York,Confirmed,2020-04-03T04:00:00Z,102987
New York,Confirmed,2020-04-04T04:00:00Z,113833
New York,Confirmed,2020-04-05T04:00:00Z,123160
New York,Confirmed,2020-04-06T04:00:00Z,131815
New York,Confirmed,2020-04-07T04:00:00Z,139875
New York,Confirmed,2020-04-08T04:00:00Z,151061
New York,Confirmed,2020-04-09T04:00:00Z,161779
New York,Confirmed,2020-04-10T04:00:00Z,172348
New York,Confirmed (per 100k),2020-03-22T04:00:00Z,81.22
New York,Confirmed (per 100k),2020-03-23T04:00:00Z,107.35
New York,Confirmed (per 100k),2020-03-24T04:00:00Z,132.01
New York,Confirmed (per 100k),2020-03-25T04:00:00Z,158.54
New York,Confirmed (per 100k),2020-03-26T04:00:00Z,194.70
New York,Confirmed (per 100k),2020-03-27T04:00:00Z,230.68
New York,Confirmed (per 100k),2020-03-28T04:00:00Z,269.41
New York,Confirmed (per 100k),2020-03-29T04:00:00Z,306.62
New York,Confirmed (per 100k),2020-03-30T04:00:00Z,342.68
New York,Confirmed (per 100k),2020-03-31T04:00:00Z,389.82
New York,Confirmed (per 100k),2020-04-01T04:00:00Z,431.53
New York,Confirmed (per 100k),2020-04-02T04:00:00Z,475.52
New York,Confirmed (per 100k),2020-04-03T04:00:00Z,529.40
New York,Confirmed (per 100k),2020-04-04T04:00:00Z,585.15
New York,Confirmed (per 100k),2020-04-05T04:00:00Z,633.10
New York,Confirmed (per 100k),2020-04-06T04:00:00Z,677.59
New York,Confirmed (per 100k),2020-04-07T04:00:00Z,719.02
New York,Confirmed (per 100k),2020-04-08T04:00:00Z,776.52
New York,Confirmed (per 100k),2020-04-09T04:00:00Z,831.62
New York,Confirmed (per 100k),2020-04-10T04:00:00Z,885.95
New York,Deaths,2020-03-22T04:00:00Z,117
