Region,Nation,Model,Metric,Forecast Date,Peak Day,Peak Value,May 1,June 1,July 1,May 1 Total,June 1 Total,July 1 Total,Total,Curve,Parameters,k,First Fit Day,Last Fit Day,SE Totals,SE Deltas
South Dakota,US,Gompertz21,Deaths,2020-04-26,2020-04-05,0.4,0.1,0.0,0.0,9,10,10,10,Gompertz,10.0; 0.10900831753171254; 25.833276607972664,0.109,2020-03-29,2020-04-18,0.8,0.6
South Dakota,US,Gompertz21,Deaths,2020-04-26,2020-04-15,0.3,0.2,0.1,0.0,11,16,18,19,Gompertz,18.55993286250406; 0.04; 35.44232341456551,0.040,2020-04-05,2020-04-25,0.8,0.7
Tennessee,US,Gompertz21,Deaths,2020-04-26,2020-04-06,8.6,1.3,0.0,0.0,186,197,197,197,Gompertz,196.81487537182963; 0.1186720061296767; 16.898638788743266,0.119,2020-03-22,2020-04-11,1.9,2.9
Tennessee,US,Gompertz21,Deaths,2020-04-26,2020-04-06,8.2,0.9,0.0,0.0,170,177,177,177,Gompertz,177.3719846306842; 0.125872787374529; 16.099843559047784,0.126,2020-03-29,2020-04-18,3.1,4.4
Tennessee,US,Gompertz21,Deaths,2020-04-26,2020-04-07,7.3,2.0,0.1,0.0,189,211,212,212,Gompertz,212.0955337944456; 0.09304051173419824; 17.734008855523598,0.093,2020-04-05,2020-04-25,3.5,4.7
Texas,US,Gompertz21,Deaths,2020-04-26,2020-04-21,32.5,28.7,8.1,1.6,881,1419,1541,1569,Gompertz,1569.3422736998957; 0.05636989280279774; 35.26487733438659,0.056,2020-03-22,2020-04-11,3.3,3.8
Texas,US,Gompertz21,Deaths,2020-04-26,2020-04-25,37.6,36.5,14.4,3.7,957,1752,1992,2069,Gompertz,2068.9200605472784; 0.04945965066134012; 39.73419085054426,0.049,2020-03-29,2020-04-18,5.2,5.6
Texas,US,Gompertz21,Deaths,2020-04-26,2020-04-15,28.3,18.2,2.6,0.3,768,1030,1062,1066,Gompertz,1066.4291792075753; 0.07224744586928213; 29.579913355627763,0.072,2020-04-05,2020-04-25,9.0,8.7
Utah,US,Gompertz21,Deaths,2020-04-26,2020-04-08,1.3,0.4,0.0,0.0,35,40,40,40,Gompertz,40.2533407415398; 0.09110486851264049; 17.925548873704706,0.091,2020-03-22,2020-04-11,0.9,1.3
Utah,US,Gompertz21,Deaths,2020-04-26,2020-04-06,1.2,0.3,0.0,0.0,30,32,32,32,Gompertz,32.42406810155064; 0.09877403729251946; 15.910169919775296,0.099,2020-03-29,2020-04-18,1.1,1.5
